date,pillar,newsapi_article_count,newsapi_share,nyt_share,wiki_share,wiki_views,newsapi_available,nyt_available,wiki_available,available_source_count,available_weight,newsapi_weight_used,nyt_weight_used,wiki_weight_used,newsapi_share_filled,nyt_share_filled,wiki_share_filled,composite_share_raw,composite_share,popularity_score
2024-12-09,Business & Finance,0,,,,0,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-09,Entertainment & Pop Culture,0,,,,0,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-09,Lifestyle & Wellness,0,,,,0,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-09,Politics & Civic Life,0,,0.9,,0,False,True,False,1,0.25,0.0,1.0,0.0,0.0,0.9,0.0,0.9,0.9,90.0
2024-12-09,Science & Technology,0,,0.1,,0,False,True,False,1,0.25,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.1,10.0
2024-12-09,Sports & Athletics,0,,,,0,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-10,Business & Finance,0,,,,0,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-10,Entertainment & Pop Culture,0,,0.1,,0,False,True,False,1,0.25,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.1,10.0
2024-12-10,Lifestyle & Wellness,0,,,,0,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-10,Politics & Civic Life,0,,0.7,,0,False,True,False,1,0.25,0.0,1.0,0.0,0.0,0.7,0.0,0.7,0.7,70.0
2024-12-10,Science & Technology,0,,0.2,,0,False,True,False,1,0.25,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.2,20.0
2024-12-10,Sports & Athletics,0,,,,0,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-11,Business & Finance,0,,,0.044616827740823,194871,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.044616827740823,0.044616827740823,0.04057642506601153,4.0576425066011526
2024-12-11,Entertainment & Pop Culture,0,,0.1,0.4963633820146591,2167945,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.4963633820146591,0.24863626825549714,0.22612030972186334,22.612030972186332
2024-12-11,Lifestyle & Wellness,0,,,0.0349439069963598,152623,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0349439069963598,0.0349439069963598,0.03177946294138111,3.177946294138111
2024-12-11,Politics & Civic Life,0,,0.9,0.3443164149565774,1503856,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.9,0.3443164149565774,0.6916186556087165,0.6289871775864866,62.89871775864866
2024-12-11,Science & Technology,0,,,,0,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-11,Sports & Athletics,0,,,0.0797594682915805,348362,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0797594682915805,0.0797594682915805,0.07253662468425733,7.253662468425732
2024-12-12,Business & Finance,0,,0.2,0.0248427782705738,106061,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.2,0.0248427782705738,0.13431604185146517,0.11489079722728683,11.489079722728682
2024-12-12,Entertainment & Pop Culture,0,,0.1,0.4782121800608954,2041626,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.4782121800608954,0.24182956752283574,0.20685534968752142,20.685534968752144
2024-12-12,Lifestyle & Wellness,0,,0.1,0.0340124550012894,145209,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0340124550012894,0.07525467062548352,0.06437108318602802,6.437108318602802
2024-12-12,Politics & Civic Life,0,,0.6,0.1924114296314913,821460,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.6,0.1924114296314913,0.44715428611180924,0.3824853063478186,38.24853063478186
2024-12-12,Science & Technology,0,,,0.0401961544416412,171609,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0401961544416412,0.0401961544416412,0.03438284932769501,3.438284932769501
2024-12-12,Sports & Athletics,0,,,0.2303250025941087,983324,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.2303250025941087,0.2303250025941087,0.19701461422365013,19.701461422365014
2024-12-13,Business & Finance,0,,,,0,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-13,Entertainment & Pop Culture,0,,0.1,0.5313139080118772,2251202,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.5313139080118772,0.26174271550445394,0.2389242236224627,23.892422362246272
2024-12-13,Lifestyle & Wellness,0,,,0.032808227050585,139010,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.032808227050585,0.032808227050585,0.029948035655483648,2.9948035655483647
2024-12-13,Politics & Civic Life,0,,0.6,0.1466046989802095,621171,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.6,0.1466046989802095,0.42997676211757857,0.3924917790611623,39.24917790611623
2024-12-13,Science & Technology,0,,0.2,,0,False,True,False,1,0.25,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.18256418190052517,18.256418190052518
2024-12-13,Sports & Athletics,0,,0.1,0.2892731659573283,1225664,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.2892731659573283,0.1709774372339981,0.1560717797603663,15.60717797603663
2024-12-14,Business & Finance,0,,0.1,0.0558947702985852,203646,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0558947702985852,0.08346053886196944,0.07596185165469864,7.596185165469864
2024-12-14,Entertainment & Pop Culture,0,,0.2,0.7237341568904935,2636840,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.2,0.7237341568904935,0.396400308833935,0.36078489147211756,36.078489147211755
2024-12-14,Lifestyle & Wellness,0,,,0.0348558015601987,126993,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0348558015601987,0.0348558015601987,0.03172410894447163,3.1724108944471627
2024-12-14,Politics & Civic Life,0,,0.7,0.0624246922227754,227437,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.7,0.0624246922227754,0.4609092595835408,0.4194979002072517,41.94979002072517
2024-12-14,Science & Technology,0,,,0.0244511829942619,89085,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0244511829942619,0.0244511829942619,0.022254315161609344,2.2254315161609344
2024-12-14,Sports & Athletics,0,,,0.0986393960336851,359381,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0986393960336851,0.0986393960336851,0.08977693255985103,8.977693255985104
2024-12-15,Business & Finance,0,,,0.0243465888780343,96374,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0243465888780343,0.0243465888780343,0.019605589425911802,1.9605589425911802
2024-12-15,Entertainment & Pop Culture,0,,0.4,0.5591603617504868,2213391,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.4,0.5591603617504868,0.45968513565643254,0.37017087198632775,37.01708719863277
2024-12-15,Lifestyle & Wellness,0,,,0.0659437517857508,261033,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0659437517857508,0.0659437517857508,0.05310255696156694,5.310255696156694
2024-12-15,Politics & Civic Life,0,,0.5,0.0257974206368754,102117,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.5,0.0257974206368754,0.3221740327388283,0.25943723949215963,25.943723949215965
2024-12-15,Science & Technology,0,,0.1,0.0281321911601576,111359,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0281321911601576,0.0730495716850591,0.058824663995871135,5.882466399587114
2024-12-15,Sports & Athletics,0,,,0.2966196857886949,1174145,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.2966196857886949,0.2966196857886949,0.2388590781381627,23.88590781381627
2024-12-16,Business & Finance,0,,,,0,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-16,Entertainment & Pop Culture,0,,0.1,0.6346212265386403,2304257,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.6346212265386403,0.30048295995199004,0.2856330547557062,28.563305475570623
2024-12-16,Lifestyle & Wellness,0,,0.1,0.0665567403496141,241662,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0665567403496141,0.08745877763110528,0.08313655397951354,8.313655397951354
2024-12-16,Politics & Civic Life,0,,0.7,0.1332024389431099,483647,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.7,0.1332024389431099,0.4874509146036662,0.4633610298698934,46.33610298698934
2024-12-16,Science & Technology,0,,,0.0831831187548489,302031,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0831831187548489,0.0831831187548489,0.07907219869589417,7.907219869589417
2024-12-16,Sports & Athletics,0,,0.1,0.0824364754137866,299320,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0824364754137866,0.09341367828016997,0.08879716269899252,8.879716269899252
2024-12-17,Business & Finance,0,,0.2,,0,False,True,False,1,0.25,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.16174207321346665,16.174207321346664
